Definition,Hiragana,Casual,Polite,Casual Negative,Polite Negative,Casual Past,Polite Past,Casual Past Negative,Polite Past Negative,Te,Polite Te ,Negative Te,Command Negative Te,Polite Negative Te,I form,Casual Conditional,Polite Conditional,Casual Conditional Negative,Polite Conditional Negative,Casual Provisional,Casual Contextual ,Polite Contextual,Polite Provisional ば,Casual Provisional Negative ば,Casual Provisional Negative ち,Casual Provisional Negative き,Polite Provisional Negative,Casual Potential,Polite Potential,Casual Potential Negative,Polite Potential Negative,Casual Passive,Polite Passive,Casual Passive Negative,Polite Passive Negative,Casual Causative,Polite Causative,Polite (Slang) Causative,Casual Causative Negative,Casual (Slang) Causative Negative,Polite Causative Negative,Polite (Slang) Causative Negative,Casual Causative Passive,Polite Causative Passive,Casual Causative Passive Negative,Polite Causative Passive Negative,Volitional,Polite Volitional,Volitional Negative,Polite Volitional Negative,Conjectural,Polite Conjectural,Conjectural Negative,Polite Conjectural Negative,Alternative,Polite Alternative,Alternative Negative,Polite Alternative Negative,Imperative,Polite Imperative,Imperative Negative,Polite Imperative Negative,Casual Respectful,Polite Respectful,Casual Humble,Polite Humble,,,,,,,,,
to defeat,まかす,負かす,負かします,負かさない,負かしません,負かした,負かしました,負かさなかった,負かしませんでした,負かして,負かしまして,負かさなくて,負かさないで,負かしませんで,負かし,負かしたら,負かしましたら,負かさなかったら,負かしませんでしたら,負かせば,負かすなら,負かしますなら,負かしませば,負かさなければ,負かさなくちゃ,負かさなきゃ,負かしませんなら,負かせる,負かせます,負かせない,負かせません,負かされる,負かされます,負かされない,負かされません,負かさせる,負かさせます,負かさします,負かさせない,負かささない,負かさせません,負かさしません,負かさせられる,負かさせられます,負かさせられない,負かさせられません,負かそう,負かしましょう,負かすまい,負かしますまい,負かすだろう,負かすでしょう,負かさないだろう,負かさないでしょう,負かしたり,負かしましたり,負かさなかったり,負かしませんでしたり,負かせ,負かしなさい,負かすな,負かしなさるな,お負かしになる,お負かしになります,お負かしする,お負かしします,負かさず＋に,負かさぬ,,負かさされません,負かさされない,負かさされる,負かさす,,負かさされます
to deprecate oneself and praise the listener,へりくだる,謙る,謙ります,謙らない,謙りません,謙った,謙りました,謙らなかった,謙りませんでした,謙って,謙りまして,謙らなくて,謙らないで,謙りませんで,謙り,謙ったら,謙りましたら,謙らなかったら,謙りませんでしたら,謙れば,謙るなら,謙りますなら,謙りませば,謙らなければ,謙らなくちゃ,謙らなきゃ,謙りませんなら,謙れる,謙れます,謙れない,謙れません,謙られる,謙られます,謙られない,謙られません,謙らせる,謙らせます,謙らします,謙らせない,謙らさない,謙らせません,謙らしません,謙らせられる,謙らせられます,謙らせられない,謙らせられません,謙ろう,謙りましょう,謙るまい,謙りますまい,謙るだろう,謙るでしょう,謙らないだろう,謙らないでしょう,謙ったり,謙りましたり,謙らなかったり,謙りませんでしたり,謙れ,謙りなさい,謙るな,謙りなさるな,お謙りになる,お謙りになります,お謙りする,お謙りします,謙らず＋に,謙らぬ,,謙らされません,謙らされない,謙らされる,謙らす,,謙らされます
to destroy,ほろぼす,滅ぼす,滅ぼします,滅ぼさない,滅ぼしません,滅ぼした,滅ぼしました,滅ぼさなかった,滅ぼしませんでした,滅ぼして,滅ぼしまして,滅ぼさなくて,滅ぼさないで,滅ぼしませんで,滅ぼし,滅ぼしたら,滅ぼしましたら,滅ぼさなかったら,滅ぼしませんでしたら,滅ぼせば,滅ぼすなら,滅ぼしますなら,滅ぼしませば,滅ぼさなければ,滅ぼさなくちゃ,滅ぼさなきゃ,滅ぼしませんなら,滅ぼせる,滅ぼせます,滅ぼせない,滅ぼせません,滅ぼされる,滅ぼされます,滅ぼされない,滅ぼされません,滅ぼさせる,滅ぼさせます,滅ぼさします,滅ぼさせない,滅ぼささない,滅ぼさせません,滅ぼさしません,滅ぼさせられる,滅ぼさせられます,滅ぼさせられない,滅ぼさせられません,滅ぼそう,滅ぼしましょう,滅ぼすまい,滅ぼしますまい,滅ぼすだろう,滅ぼすでしょう,滅ぼさないだろう,滅ぼさないでしょう,滅ぼしたり,滅ぼしましたり,滅ぼさなかったり,滅ぼしませんでしたり,滅ぼせ,滅ぼしなさい,滅ぼすな,滅ぼしなさるな,お滅ぼしになる,お滅ぼしになります,お滅ぼしする,お滅ぼしします,滅ぼさず＋に,滅ぼさぬ,,滅ぼさされません,滅ぼさされない,滅ぼさされる,滅ぼさす,,滅ぼさされます
to disseminate,ばらまく,散蒔く,散蒔きます,散蒔かない,散蒔きません,散蒔いた,散蒔きました,散蒔かなかった,散蒔きませんでした,散蒔いて,散蒔きまして,散蒔かなくて,散蒔かないで,散蒔きませんで,散蒔き,散蒔いたら,散蒔きましたら,散蒔かなかったら,散蒔きませんでしたら,散蒔けば,散蒔くなら,散蒔きますなら,散蒔きませば,散蒔かなければ,散蒔かなくちゃ,散蒔かなきゃ,散蒔きませんなら,散蒔ける,散蒔けます,散蒔けない,散蒔けません,散蒔かれる,散蒔かれます,散蒔かれない,散蒔かれません,散蒔かせる,散蒔かせます,散蒔かします,散蒔かせない,散蒔かさない,散蒔かせません,散蒔かしません,散蒔かせられる,散蒔かせられます,散蒔かせられない,散蒔かせられません,散蒔こう,散蒔きましょう,散蒔くまい,散蒔きますまい,散蒔くだろう,散蒔くでしょう,散蒔かないだろう,散蒔かないでしょう,散蒔いたり,散蒔きましたり,散蒔かなかったり,散蒔きませんでしたり,散蒔け,散蒔きなさい,散蒔くな,散蒔きなさるな,お散蒔きになる,お散蒔きになります,お散蒔きする,お散蒔きします,散蒔かず＋に,散蒔かぬ,,散蒔かされません,散蒔かされない,散蒔かされる,散蒔かす,,散蒔かされます
to do,なさる,為さる,為さります,為さらない,為さりません,為さった,為さりました,為さらなかった,為さりませんでした,為さって,為さりまして,為さらなくて,為さらないで,為さりませんで,為さり,為さったら,為さりましたら,為さらなかったら,為さりませんでしたら,為されば,為さるなら,為さりますなら,為さりませば,為さらなければ,為さらなくちゃ,為さらなきゃ,為さりませんなら,為される,為されます,為されない,為されません,為さられる,為さられます,為さられない,為さられません,為さらせる,為さらせます,為さらします,為さらせない,為さらさない,為さらせません,為さらしません,為さらせられる,為さらせられます,為さらせられない,為さらせられません,為さろう,為さりましょう,為さるまい,為さりますまい,為さるだろう,為さるでしょう,為さらないだろう,為さらないでしょう,為さったり,為さりましたり,為さらなかったり,為さりませんでしたり,為され,為さりなさい,為さるな,為さりなさるな,お為さりになる,お為さりになります,お為さりする,お為さりします,為さらず＋に,為さらぬ,,為さらされません,為さらされない,為さらされる,為さらす,,為さらされます
to domesticate,ならす,馴らす,馴らします,馴らさない,馴らしません,馴らした,馴らしました,馴らさなかった,馴らしませんでした,馴らして,馴らしまして,馴らさなくて,馴らさないで,馴らしませんで,馴らし,馴らしたら,馴らしましたら,馴らさなかったら,馴らしませんでしたら,馴らせば,馴らすなら,馴らしますなら,馴らしませば,馴らさなければ,馴らさなくちゃ,馴らさなきゃ,馴らしませんなら,馴らせる,馴らせます,馴らせない,馴らせません,馴らされる,馴らされます,馴らされない,馴らされません,馴らさせる,馴らさせます,馴らさします,馴らさせない,馴らささない,馴らさせません,馴らさしません,馴らさせられる,馴らさせられます,馴らさせられない,馴らさせられません,馴らそう,馴らしましょう,馴らすまい,馴らしますまい,馴らすだろう,馴らすでしょう,馴らさないだろう,馴らさないでしょう,馴らしたり,馴らしましたり,馴らさなかったり,馴らしませんでしたり,馴らせ,馴らしなさい,馴らすな,馴らしなさるな,お馴らしになる,お馴らしになります,お馴らしする,お馴らしします,馴らさず＋に,馴らさぬ,,馴らさされません,馴らさされない,馴らさされる,馴らさす,,馴らさされます
to drag along,ひきずる,引きずる,引きずります,引きずらない,引きずりません,引きずった,引きずりました,引きずらなかった,引きずりませんでした,引きずって,引きずりまして,引きずらなくて,引きずらないで,引きずりませんで,引きずり,引きずったら,引きずりましたら,引きずらなかったら,引きずりませんでしたら,引きずれば,引きずるなら,引きずりますなら,引きずりませば,引きずらなければ,引きずらなくちゃ,引きずらなきゃ,引きずりませんなら,引きずれる,引きずれます,引きずれない,引きずれません,引きずられる,引きずられます,引きずられない,引きずられません,引きずらせる,引きずらせます,引きずらします,引きずらせない,引きずらさない,引きずらせません,引きずらしません,引きずらせられる,引きずらせられます,引きずらせられない,引きずらせられません,引きずろう,引きずりましょう,引きずるまい,引きずりますまい,引きずるだろう,引きずるでしょう,引きずらないだろう,引きずらないでしょう,引きずったり,引きずりましたり,引きずらなかったり,引きずりませんでしたり,引きずれ,引きずりなさい,引きずるな,引きずりなさるな,お引きずりになる,お引きずりになります,お引きずりする,お引きずりします,引きずらず＋に,引きずらぬ,,引きずらされません,引きずらされない,引きずらされる,引きずらす,,引きずらされます
to dress up,きかざる,着飾る,着飾ります,着飾らない,着飾りません,着飾った,着飾りました,着飾らなかった,着飾りませんでした,着飾って,着飾りまして,着飾らなくて,着飾らないで,着飾りませんで,着飾り,着飾ったら,着飾りましたら,着飾らなかったら,着飾りませんでしたら,着飾れば,着飾るなら,着飾りますなら,着飾りませば,着飾らなければ,着飾らなくちゃ,着飾らなきゃ,着飾りませんなら,着飾れる,着飾れます,着飾れない,着飾れません,着飾られる,着飾られます,着飾られない,着飾られません,着飾らせる,着飾らせます,着飾らします,着飾らせない,着飾らさない,着飾らせません,着飾らしません,着飾らせられる,着飾らせられます,着飾らせられない,着飾らせられません,着飾ろう,着飾りましょう,着飾るまい,着飾りますまい,着飾るだろう,着飾るでしょう,着飾らないだろう,着飾らないでしょう,着飾ったり,着飾りましたり,着飾らなかったり,着飾りませんでしたり,着飾れ,着飾りなさい,着飾るな,着飾りなさるな,お着飾りになる,お着飾りになります,お着飾りする,お着飾りします,着飾らず＋に,着飾らぬ,,着飾らされません,着飾らされない,着飾らされる,着飾らす,,着飾らされます
to drift,ただよう,漂う,漂います,漂わない,漂いません,漂った,漂いました,漂わなかった,漂いませんでした,漂って,漂いまして,漂わなくて,漂わないで,漂いませんで,漂い,漂ったら,漂いましたら,漂わなかったら,漂いませんでしたら,漂えば,漂うなら,漂いますなら,漂いませば,漂わなければ,漂わなくちゃ,漂わなきゃ,漂いませんなら,漂える,漂えます,漂えない,漂えません,漂われる,漂われます,漂われない,漂われません,漂わせる,漂わせます,漂わします,漂わせない,漂わさない,漂わせません,漂わしません,漂わせられる,漂わせられます,漂わせられない,漂わせられません,漂おう,漂いましょう,漂うまい,漂いますまい,漂うだろう,漂うでしょう,漂わないだろう,漂わないでしょう,漂ったり,漂いましたり,漂わなかったり,漂いませんでしたり,漂え,漂いなさい,漂うな,漂いなさるな,お漂いになる,お漂いになります,お漂いする,お漂いします,漂わず＋に,漂わぬ,,漂わされません,漂わされない,漂わされる,漂わす,,漂わされます
"to drive in (e.g. nail, stake);  to hammer in",うちこむ,打ち込む,打ち込みます,打ち込まない,打ち込みません,打ち込んだ,打ち込みました,打ち込まなかった,打ち込みませんでした,打ち込んで,打ち込みまして,打ち込まなくて,打ち込まないで,打ち込みませんで,打ち込み,打ち込んだら,打ち込みましたら,打ち込まなかったら,打ち込みませんでしたら,打ち込めば,打ち込むなら,打ち込みますなら,打ち込みませば,打ち込まなければ,打ち込まなくちゃ,打ち込まなきゃ,打ち込みませんなら,打ち込める,打ち込めます,打ち込めない,打ち込めません,打ち込まれる,打ち込まれます,打ち込まれない,打ち込まれません,打ち込ませる,打ち込ませます,打ち込まします,打ち込ませない,打ち込まさない,打ち込ませません,打ち込ましません,打ち込ませられる,打ち込ませられます,打ち込ませられない,打ち込ませられません,打ち込もう,打ち込みましょう,打ち込むまい,打ち込みますまい,打ち込むだろう,打ち込むでしょう,打ち込まないだろう,打ち込まないでしょう,打ち込んだり,打ち込みましたり,打ち込まなかったり,打ち込みませんでしたり,打ち込め,打ち込みなさい,打ち込むな,打ち込みなさるな,お打ち込みになる,お打ち込みになります,お打ち込みする,お打ち込みします,打ち込まず＋に,打ち込まぬ,,打ち込まされません,打ち込まされない,打ち込まされる,打ち込ます,,打ち込まされます
to drop,おとす,落とす,落とします,落とさない,落としません,落とした,落としました,落とさなかった,落としませんでした,落として,落としまして,落とさなくて,落とさないで,落としませんで,落とし,落としたら,落としましたら,落とさなかったら,落としませんでしたら,落とせば,落とすなら,落としますなら,落としませば,落とさなければ,落とさなくちゃ,落とさなきゃ,落としませんなら,落とせる,落とせます,落とせない,落とせません,落とされる,落とされます,落とされない,落とされません,落とさせる,落とさせます,落とさします,落とさせない,落とささない,落とさせません,落とさしません,落とさせられる,落とさせられます,落とさせられない,落とさせられません,落とそう,落としましょう,落とすまい,落としますまい,落とすだろう,落とすでしょう,落とさないだろう,落とさないでしょう,落としたり,落としましたり,落とさなかったり,落としませんでしたり,落とせ,落としなさい,落とすな,落としなさるな,お落としになる,お落としになります,お落としする,お落としします,落とさず＋に,落とさぬ,,落とさされません,落とさされない,落とさされる,落とさす,,落とさされます
to encourage,はげます,励ます,励まします,励まさない,励ましません,励ました,励ましました,励まさなかった,励ましませんでした,励まして,励ましまして,励まさなくて,励まさないで,励ましませんで,励まし,励ましたら,励ましましたら,励まさなかったら,励ましませんでしたら,励ませば,励ますなら,励ましますなら,励ましませば,励まさなければ,励まさなくちゃ,励まさなきゃ,励ましませんなら,励ませる,励ませます,励ませない,励ませません,励まされる,励まされます,励まされない,励まされません,励まさせる,励まさせます,励まさします,励まさせない,励まささない,励まさせません,励まさしません,励まさせられる,励まさせられます,励まさせられない,励まさせられません,励まそう,励ましましょう,励ますまい,励ましますまい,励ますだろう,励ますでしょう,励まさないだろう,励まさないでしょう,励ましたり,励ましましたり,励まさなかったり,励ましませんでしたり,励ませ,励ましなさい,励ますな,励ましなさるな,お励ましになる,お励ましになります,お励ましする,お励ましします,励まさず＋に,励まさぬ,,励まさされません,励まさされない,励まさされる,励まさす,,励まさされます
to endure,しのぐ,凌ぐ,凌ぎます,凌がない,凌ぎません,凌いだ,凌ぎました,凌がなかった,凌ぎませんでした,凌いで,凌ぎまして,凌がなくて,凌がないで,凌ぎませんで,凌ぎ,凌いだら,凌ぎましたら,凌がなかったら,凌ぎませんでしたら,凌げば,凌ぐなら,凌ぎますなら,凌ぎませば,凌がなければ,凌がなくちゃ,凌がなきゃ,凌ぎませんなら,凌げる,凌げます,凌げない,凌げません,凌がれる,凌がれます,凌がれない,凌がれません,凌がせる,凌がせます,凌がします,凌がせない,凌がさない,凌がせません,凌がしません,凌がせられる,凌がせられます,凌がせられない,凌がせられません,凌ごう,凌ぎましょう,凌ぐまい,凌ぎますまい,凌ぐだろう,凌ぐでしょう,凌がないだろう,凌がないでしょう,凌いだり,凌ぎましたり,凌がなかったり,凌ぎませんでしたり,凌げ,凌ぎなさい,凌ぐな,凌ぎなさるな,お凌ぎになる,お凌ぎになります,お凌ぎする,お凌ぎします,凌がず＋に,凌がぬ,,凌がされません,凌がされない,凌がされる,凌がす,,凌がされます
to engage in,たずさわる,携わる,携わります,携わらない,携わりません,携わった,携わりました,携わらなかった,携わりませんでした,携わって,携わりまして,携わらなくて,携わらないで,携わりませんで,携わり,携わったら,携わりましたら,携わらなかったら,携わりませんでしたら,携われば,携わるなら,携わりますなら,携わりませば,携わらなければ,携わらなくちゃ,携わらなきゃ,携わりませんなら,携われる,携われます,携われない,携われません,携わられる,携わられます,携わられない,携わられません,携わらせる,携わらせます,携わらします,携わらせない,携わらさない,携わらせません,携わらしません,携わらせられる,携わらせられます,携わらせられない,携わらせられません,携わろう,携わりましょう,携わるまい,携わりますまい,携わるだろう,携わるでしょう,携わらないだろう,携わらないでしょう,携わったり,携わりましたり,携わらなかったり,携わりませんでしたり,携われ,携わりなさい,携わるな,携わりなさるな,お携わりになる,お携わりになります,お携わりする,お携わりします,携わらず＋に,携わらぬ,,携わらされません,携わらされない,携わらされる,携わらす,,携わらされます
to enjoy (oneself),たのしむ,楽しむ,楽しみます,楽しまない,楽しみません,楽しんだ,楽しみました,楽しまなかった,楽しみませんでした,楽しんで,楽しみまして,楽しまなくて,楽しまないで,楽しみませんで,楽しみ,楽しんだら,楽しみましたら,楽しまなかったら,楽しみませんでしたら,楽しめば,楽しむなら,楽しみますなら,楽しみませば,楽しまなければ,楽しまなくちゃ,楽しまなきゃ,楽しみませんなら,楽しめる,楽しめます,楽しめない,楽しめません,楽しまれる,楽しまれます,楽しまれない,楽しまれません,楽しませる,楽しませます,楽しまします,楽しませない,楽しまさない,楽しませません,楽しましません,楽しませられる,楽しませられます,楽しませられない,楽しませられません,楽しもう,楽しみましょう,楽しむまい,楽しみますまい,楽しむだろう,楽しむでしょう,楽しまないだろう,楽しまないでしょう,楽しんだり,楽しみましたり,楽しまなかったり,楽しみませんでしたり,楽しめ,楽しみなさい,楽しむな,楽しみなさるな,お楽しみになる,お楽しみになります,お楽しみする,お楽しみします,楽しまず＋に,楽しまぬ,,楽しまされません,楽しまされない,楽しまされる,楽します,,楽しまされます
to entangle,からむ,絡む,絡みます,絡まない,絡みません,絡んだ,絡みました,絡まなかった,絡みませんでした,絡んで,絡みまして,絡まなくて,絡まないで,絡みませんで,絡み,絡んだら,絡みましたら,絡まなかったら,絡みませんでしたら,絡めば,絡むなら,絡みますなら,絡みませば,絡まなければ,絡まなくちゃ,絡まなきゃ,絡みませんなら,絡める,絡めます,絡めない,絡めません,絡まれる,絡まれます,絡まれない,絡まれません,絡ませる,絡ませます,絡まします,絡ませない,絡まさない,絡ませません,絡ましません,絡ませられる,絡ませられます,絡ませられない,絡ませられません,絡もう,絡みましょう,絡むまい,絡みますまい,絡むだろう,絡むでしょう,絡まないだろう,絡まないでしょう,絡んだり,絡みましたり,絡まなかったり,絡みませんでしたり,絡め,絡みなさい,絡むな,絡みなさるな,お絡みになる,お絡みになります,お絡みする,お絡みします,絡まず＋に,絡まぬ,,絡まされません,絡まされない,絡まされる,絡ます,,絡まされます
to entertain,もてなす,持て成す,持て成します,持て成さない,持て成しません,持て成した,持て成しました,持て成さなかった,持て成しませんでした,持て成して,持て成しまして,持て成さなくて,持て成さないで,持て成しませんで,持て成し,持て成したら,持て成しましたら,持て成さなかったら,持て成しませんでしたら,持て成せば,持て成すなら,持て成しますなら,持て成しませば,持て成さなければ,持て成さなくちゃ,持て成さなきゃ,持て成しませんなら,持て成せる,持て成せます,持て成せない,持て成せません,持て成される,持て成されます,持て成されない,持て成されません,持て成させる,持て成させます,持て成さします,持て成させない,持て成ささない,持て成させません,持て成さしません,持て成させられる,持て成させられます,持て成させられない,持て成させられません,持て成そう,持て成しましょう,持て成すまい,持て成しますまい,持て成すだろう,持て成すでしょう,持て成さないだろう,持て成さないでしょう,持て成したり,持て成しましたり,持て成さなかったり,持て成しませんでしたり,持て成せ,持て成しなさい,持て成すな,持て成しなさるな,お持て成しになる,お持て成しになります,お持て成しする,お持て成しします,持て成さず＋に,持て成さぬ,,持て成さされません,持て成さされない,持て成さされる,持て成さす,,持て成さされます
to entrust,まかす,任す,任します,任さない,任しません,任した,任しました,任さなかった,任しませんでした,任して,任しまして,任さなくて,任さないで,任しませんで,任し,任したら,任しましたら,任さなかったら,任しませんでしたら,任せば,任すなら,任しますなら,任しませば,任さなければ,任さなくちゃ,任さなきゃ,任しませんなら,任せる,任せます,任せない,任せません,任される,任されます,任されない,任されません,任させる,任させます,任さします,任させない,任ささない,任させません,任さしません,任させられる,任させられます,任させられない,任させられません,任そう,任しましょう,任すまい,任しますまい,任すだろう,任すでしょう,任さないだろう,任さないでしょう,任したり,任しましたり,任さなかったり,任しませんでしたり,任せ,任しなさい,任すな,任しなさるな,お任しになる,お任しになります,お任しする,お任しします,任さず＋に,任さぬ,,任さされません,任さされない,任さされる,任さす,,任さされます
to escape from,だっする,脱する,脱すります,脱すらない,脱すりません,脱すった,脱すりました,脱すらなかった,脱すりませんでした,脱すって,脱すりまして,脱すらなくて,脱すらないで,脱すりませんで,脱すり,脱すったら,脱すりましたら,脱すらなかったら,脱すりませんでしたら,脱すれば,脱するなら,脱すりますなら,脱すりませば,脱すらなければ,脱すらなくちゃ,脱すらなきゃ,脱すりませんなら,脱すれる,脱すれます,脱すれない,脱すれません,脱すられる,脱すられます,脱すられない,脱すられません,脱すらせる,脱すらせます,脱すらします,脱すらせない,脱すらさない,脱すらせません,脱すらしません,脱すらせられる,脱すらせられます,脱すらせられない,脱すらせられません,脱すろう,脱すりましょう,脱するまい,脱すりますまい,脱するだろう,脱するでしょう,脱すらないだろう,脱すらないでしょう,脱すったり,脱すりましたり,脱すらなかったり,脱すりませんでしたり,脱すれ,脱すりなさい,脱するな,脱すりなさるな,お脱すりになる,お脱すりになります,お脱すりする,お脱すりします,脱すらず＋に,脱すらぬ,,脱すらされません,脱すらされない,脱すらされる,脱すらす,,脱すらされます
"to exceed (esp. figures: profits, unemployment rate, etc.);  to surpass;  to be more than;  to be better than;",うわまわる,上回る,上回ります,上回らない,上回りません,上回った,上回りました,上回らなかった,上回りませんでした,上回って,上回りまして,上回らなくて,上回らないで,上回りませんで,上回り,上回ったら,上回りましたら,上回らなかったら,上回りませんでしたら,上回れば,上回るなら,上回りますなら,上回りませば,上回らなければ,上回らなくちゃ,上回らなきゃ,上回りませんなら,上回れる,上回れます,上回れない,上回れません,上回られる,上回られます,上回られない,上回られません,上回らせる,上回らせます,上回らします,上回らせない,上回らさない,上回らせません,上回らしません,上回らせられる,上回らせられます,上回らせられない,上回らせられません,上回ろう,上回りましょう,上回るまい,上回りますまい,上回るだろう,上回るでしょう,上回らないだろう,上回らないでしょう,上回ったり,上回りましたり,上回らなかったり,上回りませんでしたり,上回れ,上回りなさい,上回るな,上回りなさるな,お上回りになる,お上回りになります,お上回りする,お上回りします,上回らず＋に,上回らぬ,,上回らされません,上回らされない,上回らされる,上回らす,,上回らされます
to excel,まさる,勝る,勝ります,勝らない,勝りません,勝った,勝りました,勝らなかった,勝りませんでした,勝って,勝りまして,勝らなくて,勝らないで,勝りませんで,勝り,勝ったら,勝りましたら,勝らなかったら,勝りませんでしたら,勝れば,勝るなら,勝りますなら,勝りませば,勝らなければ,勝らなくちゃ,勝らなきゃ,勝りませんなら,勝れる,勝れます,勝れない,勝れません,勝られる,勝られます,勝られない,勝られません,勝らせる,勝らせます,勝らします,勝らせない,勝らさない,勝らせません,勝らしません,勝らせられる,勝らせられます,勝らせられない,勝らせられません,勝ろう,勝りましょう,勝るまい,勝りますまい,勝るだろう,勝るでしょう,勝らないだろう,勝らないでしょう,勝ったり,勝りましたり,勝らなかったり,勝りませんでしたり,勝れ,勝りなさい,勝るな,勝りなさるな,お勝りになる,お勝りになります,お勝りする,お勝りします,勝らず＋に,勝らぬ,,勝らされません,勝らされない,勝らされる,勝らす,,勝らされます
"to exchange (messages, greetings, arguments, etc.)",かわす,交わす,交わします,交わさない,交わしません,交わした,交わしました,交わさなかった,交わしませんでした,交わして,交わしまして,交わさなくて,交わさないで,交わしませんで,交わし,交わしたら,交わしましたら,交わさなかったら,交わしませんでしたら,交わせば,交わすなら,交わしますなら,交わしませば,交わさなければ,交わさなくちゃ,交わさなきゃ,交わしませんなら,交わせる,交わせます,交わせない,交わせません,交わされる,交わされます,交わされない,交わされません,交わさせる,交わさせます,交わさします,交わさせない,交わささない,交わさせません,交わさしません,交わさせられる,交わさせられます,交わさせられない,交わさせられません,交わそう,交わしましょう,交わすまい,交わしますまい,交わすだろう,交わすでしょう,交わさないだろう,交わさないでしょう,交わしたり,交わしましたり,交わさなかったり,交わしませんでしたり,交わせ,交わしなさい,交わすな,交わしなさるな,お交わしになる,お交わしになります,お交わしする,お交わしします,交わさず＋に,交わさぬ,,交わさされません,交わさされない,交わさされる,交わさす,,交わさされます
to exhaust,つくす,尽くす,尽くします,尽くさない,尽くしません,尽くした,尽くしました,尽くさなかった,尽くしませんでした,尽くして,尽くしまして,尽くさなくて,尽くさないで,尽くしませんで,尽くし,尽くしたら,尽くしましたら,尽くさなかったら,尽くしませんでしたら,尽くせば,尽くすなら,尽くしますなら,尽くしませば,尽くさなければ,尽くさなくちゃ,尽くさなきゃ,尽くしませんなら,尽くせる,尽くせます,尽くせない,尽くせません,尽くされる,尽くされます,尽くされない,尽くされません,尽くさせる,尽くさせます,尽くさします,尽くさせない,尽くささない,尽くさせません,尽くさしません,尽くさせられる,尽くさせられます,尽くさせられない,尽くさせられません,尽くそう,尽くしましょう,尽くすまい,尽くしますまい,尽くすだろう,尽くすでしょう,尽くさないだろう,尽くさないでしょう,尽くしたり,尽くしましたり,尽くさなかったり,尽くしませんでしたり,尽くせ,尽くしなさい,尽くすな,尽くしなさるな,お尽くしになる,お尽くしになります,お尽くしする,お尽くしします,尽くさず＋に,尽くさぬ,,尽くさされません,尽くさされない,尽くさされる,尽くさす,,尽くさされます
to expel,おいだす,追い出す,追い出します,追い出さない,追い出しません,追い出した,追い出しました,追い出さなかった,追い出しませんでした,追い出して,追い出しまして,追い出さなくて,追い出さないで,追い出しませんで,追い出し,追い出したら,追い出しましたら,追い出さなかったら,追い出しませんでしたら,追い出せば,追い出すなら,追い出しますなら,追い出しませば,追い出さなければ,追い出さなくちゃ,追い出さなきゃ,追い出しませんなら,追い出せる,追い出せます,追い出せない,追い出せません,追い出される,追い出されます,追い出されない,追い出されません,追い出させる,追い出させます,追い出さします,追い出させない,追い出ささない,追い出させません,追い出さしません,追い出させられる,追い出させられます,追い出させられない,追い出させられません,追い出そう,追い出しましょう,追い出すまい,追い出しますまい,追い出すだろう,追い出すでしょう,追い出さないだろう,追い出さないでしょう,追い出したり,追い出しましたり,追い出さなかったり,追い出しませんでしたり,追い出せ,追い出しなさい,追い出すな,追い出しなさるな,お追い出しになる,お追い出しになります,お追い出しする,お追い出しします,追い出さず＋に,追い出さぬ,,追い出さされません,追い出さされない,追い出さされる,追い出さす,,追い出さされます
to explain,とく,説く,説きます,説かない,説きません,説いた,説きました,説かなかった,説きませんでした,説いて,説きまして,説かなくて,説かないで,説きませんで,説き,説いたら,説きましたら,説かなかったら,説きませんでしたら,説けば,説くなら,説きますなら,説きませば,説かなければ,説かなくちゃ,説かなきゃ,説きませんなら,説ける,説けます,説けない,説けません,説かれる,説かれます,説かれない,説かれません,説かせる,説かせます,説かします,説かせない,説かさない,説かせません,説かしません,説かせられる,説かせられます,説かせられない,説かせられません,説こう,説きましょう,説くまい,説きますまい,説くだろう,説くでしょう,説かないだろう,説かないでしょう,説いたり,説きましたり,説かなかったり,説きませんでしたり,説け,説きなさい,説くな,説きなさるな,お説きになる,お説きになります,お説きする,お説きします,説かず＋に,説かぬ,,説かされません,説かされない,説かされる,説かす,,説かされます
to extend,つらなる,連なる,連なります,連ならない,連なりません,連なった,連なりました,連ならなかった,連なりませんでした,連なって,連なりまして,連ならなくて,連ならないで,連なりませんで,連なり,連なったら,連なりましたら,連ならなかったら,連なりませんでしたら,連なれば,連なるなら,連なりますなら,連なりませば,連ならなければ,連ならなくちゃ,連ならなきゃ,連なりませんなら,連なれる,連なれます,連なれない,連なれません,連なられる,連なられます,連なられない,連なられません,連ならせる,連ならせます,連ならします,連ならせない,連ならさない,連ならせません,連ならしません,連ならせられる,連ならせられます,連ならせられない,連ならせられません,連なろう,連なりましょう,連なるまい,連なりますまい,連なるだろう,連なるでしょう,連ならないだろう,連ならないでしょう,連なったり,連なりましたり,連ならなかったり,連なりませんでしたり,連なれ,連なりなさい,連なるな,連なりなさるな,お連なりになる,お連なりになります,お連なりする,お連なりします,連ならず＋に,連ならぬ,,連ならされません,連ならされない,連ならされる,連ならす,,連ならされます
